transaction_ref	customer_id	amount	merchant	merchant_category	location	device_id	location_mismatch	device_mismatch	transaction_velocity	ip_risk	account_age_days	risk_history	is_fraud
TXN00001	7	972.32	City ATM	Travel	Delhi	DEV-346	0	1	9	12	1517	0	1
TXN00002	1	446.71	TechZone	Grocery	Kolkata	DEV-529	0	1	4	80	273	6	0
TXN00003	9	718.67	QuickFuel	Fuel	Mumbai	DEV-733	0	0	3	13	789	5	0
TXN00004	4	323.6	QuickFuel	Electronics	Kolkata	DEV-637	0	0	8	46	1247	3	0
TXN00005	3	1324.14	UPI Transfer	Electronics	Singapore	DEV-140	0	0	2	15	2116	6	0
TXN00006	5	2049.1	UPI Transfer	Fuel	Delhi	DEV-162	0	0	6	76	2054	7	0
TXN00007	6	2246.12	TechZone	Grocery	Delhi	DEV-605	0	0	8	36	1600	5	0
TXN00008	7	626.01	Gold Palace	Jewellery	Singapore	DEV-467	0	0	2	21	1859	6	0
TXN00009	3	2111.93	Gold Palace	Online Transfer	Kolkata	DEV-104	0	1	3	29	975	0	0
TXN00010	9	413.45	City ATM	Online Transfer	Singapore	DEV-508	0	0	3	88	2131	0	0
TXN00011	2	977.21	Metro Mart	Gaming	Bengaluru	DEV-649	0	0	4	56	684	1	1
TXN00012	2	509.33	UPI Transfer	Gaming	London	DEV-591	1	0	7	19	1053	5	1
TXN00013	9	1303.35	GameHub	Grocery	Bengaluru	DEV-806	1	0	5	61	681	8	1
TXN00014	6	1434.41	SkyWays	Gaming	Dubai	DEV-751	0	0	2	89	1089	8	0
TXN00015	6	138.57	Metro Mart	Online Transfer	Mumbai	DEV-909	0	0	4	51	948	3	0
TXN00016	4	845.8	UPI Transfer	Fuel	Chennai	DEV-445	0	0	8	92	1451	5	1
TXN00017	4	397.76	UPI Transfer	Fuel	Bengaluru	DEV-544	0	0	8	83	1429	1	0
TXN00018	3	2614.45	Metro Mart	Electronics	Bengaluru	DEV-704	0	0	7	59	1664	1	1
TXN00019	4	802.93	Metro Mart	Travel	Kolkata	DEV-317	1	1	2	67	590	6	0
TXN00020	9	879.28	City ATM	Online Transfer	Bengaluru	DEV-644	0	0	7	16	269	5	0
TXN00021	2	446.63	Metro Mart	Electronics	Dubai	DEV-798	0	0	1	99	633	2	1
TXN00022	2	1427.57	UPI Transfer	Jewellery	Mumbai	DEV-878	0	1	9	7	1037	3	1
TXN00023	4	1643.67	UPI Transfer	Jewellery	Bengaluru	DEV-526	0	0	8	64	1034	8	0
TXN00024	6	470.04	TechZone	Electronics	Kolkata	DEV-240	1	0	2	27	1260	1	0
TXN00025	4	4277.19	GameHub	ATM Withdrawal	Dubai	DEV-194	0	0	4	20	1787	8	1
TXN00026	2	1554.86	QuickFuel	Travel	Kolkata	DEV-378	1	0	5	65	283	1	0
TXN00027	2	891.43	Gold Palace	Online Transfer	Mumbai	DEV-918	0	0	5	51	631	8	0
TXN00028	2	2220.85	UPI Transfer	Fuel	Mumbai	DEV-447	1	0	2	33	363	3	1
TXN00029	3	4968.1	SkyWays	Electronics	Kolkata	DEV-743	0	0	1	67	996	1	1
TXN00030	1	383.05	SkyWays	Jewellery	London	DEV-351	0	0	3	34	1441	0	1
TXN00031	3	3188.1	City ATM	Travel	Dubai	DEV-155	0	0	7	64	1280	3	1
TXN00032	3	6715.13	TechZone	Jewellery	Kolkata	DEV-556	0	1	7	64	1174	3	1
TXN00033	1	401.3	GameHub	Travel	Singapore	DEV-185	0	0	6	31	161	4	1
TXN00034	1	1238.02	City ATM	Electronics	Mumbai	DEV-406	1	0	1	11	1102	1	1
TXN00035	10	903.29	TechZone	Online Transfer	Mumbai	DEV-944	0	0	3	84	1615	5	1
TXN00036	1	2803.65	TechZone	Travel	Dubai	DEV-207	0	1	9	96	2085	0	1
